state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
NY,2021/09/04,1,"50,130","37,462",307,9,515,"2,276",39,"37,462","50,130",28
VT,2021/06/08,1,"1,311",894,1,0,1,2,0,894,"1,311",0
ND,2021/08/16,1,"2,011","1,442",13,0,16,77,1,"1,442","2,011",3
NM,2022/01/14,1,"4,373","3,303",79,7,147,626,22,"3,303","4,373",9
MS,2020/03/18,1,336,60,,,,,,60,123,0
MN,2020/01/20,1,46,,,,,,,,,0
MO,2021/10/29,1,"17,104","13,974",93,4,273,824,29,"13,974","17,104",12
MS,2020/06/28,1,"6,574","4,233",,,,,,"4,233","6,437",3
AR,2020/12/14,1,"7,748","5,343",108,3,317,965,3,"5,343","7,748",32
VA,2020/08/29,1,"15,465","9,557",56,5,164,620,1,"9,503","15,465",7
SC,2021/12/23,1,"11,668","8,731",89,1,160,582,4,"8,731","11,668",21
MD,2021/10/07,1,"11,579","9,940",108,4,191,788,7,"9,940","11,579",11
NE,2021/02/11,1,"4,437","2,931",14,2,69,205,5,"2,931","4,435",5
OK,2020/11/15,1,"11,190","7,360",277,4,361,"1,221",30,"7,360","11,190",19
CO,2020/08/18,1,"9,474","6,041",20,0,77,151,2,"6,010","9,474",1
NC,2020/08/12,1,"21,840","18,116",81,5,317,787,9,"17,896","21,840",17
DE,2021/09/02,1,"3,472","2,674",24,1,48,224,8,"2,674","3,472",1
MS,2021/04/25,1,"8,638","5,246",25,1,48,182,3,"5,246","8,638",2
MA,2020/10/14,1,"20,025","15,547",46,1,59,278,5,"15,547","20,025",1
VT,2020/07/06,1,"1,205",712,,,,,,712,"1,157",0
LA,2021/07/24,1,"13,639","9,577",222,3,284,"1,187",20,"9,577","13,639",10
FL,2020/06/28,1,"63,179","43,172",,,,,,"43,172","62,203",3
WY,2021/05/07,1,"1,730",816,2,0,8,27,0,816,"1,730",0
HI,2020/06/08,1,"1,970","1,663",0,,,,,"1,216","1,970",0
IA,2021/10/25,1,"7,318","5,053",68,1,133,519,9,"5,053","7,318",10
OK,2020/08/11,1,"7,336","4,353",66,0,160,450,9,"4,353","7,336",6
WI,2020/09/20,1,"12,826","7,672",64,2,120,441,0,"7,666","12,826",55
AL,2020/04/30,1,"8,418","4,677",,,,,,"4,677","7,418",9
MO,2020/10/21,1,"21,155","13,843",178,1,463,"1,287",15,"13,843","21,155",19
KY,2021/12/17,1,"12,023","9,436",176,4,299,"1,139",10,"9,436","12,023",24
OR,2021/06/03,1,"7,120","5,459",28,2,60,243,3,"5,459","7,120",2
PR,2020/07/26,1,"7,834","4,245",0,,0,40,0,"4,099","7,834",
MI,2020/12/06,1,"23,209","17,673",367,6,810,"3,693",23,"17,673","23,209",65
NJ,2020/06/26,1,"16,860","11,306",,,,,,"11,306","16,337",4
KY,2020/11/19,1,"14,087","10,108",338,1,379,"1,431",9,"10,108","14,087",23
NY,2022/01/21,1,"48,907","40,619","1,172",50,"1,482","10,510",251,"40,619","48,907",84
WV,2020/11/11,1,"6,367","4,921",41,0,104,331,1,"4,921","6,367",3
ND,2021/11/20,1,"2,283","1,777",31,3,65,236,5,"1,777","2,283",5
GA,2021/05/09,1,"22,926","16,687",134,2,307,972,16,"16,687","22,926",14
RI,2021/08/26,1,"2,430","2,176",12,0,25,119,0,"2,176","2,430",2
VT,2021/04/05,1,"1,304",773,4,0,4,24,0,773,"1,304",0
LA,2021/04/06,1,"14,019","8,962",52,1,103,341,1,"8,962","14,019",5
UT,2020/12/12,1,"6,217","3,758",92,5,195,523,0,"3,758","6,217",4
PA,2021/05/23,1,"32,515","24,273",132,4,316,"1,173",38,"24,273","32,515",15
FL,2020/03/17,1,38,9,,,,,,9,38,0
WA,2020/11/28,1,"13,755","8,950",99,1,214,850,6,"8,950","13,755",9
MN,2021/09/04,1,"10,158","7,973",72,1,175,621,10,"7,973","10,158",6
FL,2020/08/13,1,"76,431","45,073",563,17,"1,692","6,808",59,"44,891","76,431",130
IL,2021/07/24,1,"31,454","21,830",110,2,120,562,8,"21,830","31,454",6
NE,2020/03/31,1,"1,901",763,,,,,,763,"1,901",1
NV,2020/10/16,1,"8,552","6,090",46,2,135,429,1,"6,015","8,552",2
CT,2021/12/09,1,"8,435","7,076",98,1,150,588,5,"7,076","8,435",10
MD,2021/10/01,1,"11,227","9,573",109,0,199,794,12,"9,573","11,227",12
IL,2021/08/31,1,"28,515","21,049",261,2,491,"1,997",21,"21,049","28,515",27
MD,2021/07/27,1,"10,265","8,457",32,2,49,201,6,"8,457","10,265",1
CA,2021/12/13,1,"62,097","48,372",363,3,969,"3,600",42,"48,372","62,097",57
LA,2021/08/16,1,"13,113","10,221",335,8,906,"3,050",57,"10,221","13,113",34
OR,2020/08/14,1,"4,346","3,915",8,0,34,139,2,"2,973","4,346",501
MT,2021/06/09,1,"3,170","2,177",11,1,17,65,1,"2,177","3,170",1
FL,2020/12/28,1,"53,144","39,853",856,15,"1,304","6,171",30,"39,853","53,144",86
LA,2020/12/29,1,"14,025","9,685",244,4,493,"2,473",7,"9,685","14,025",17
AL,2020/07/17,1,"15,886","11,533",235,0,421,"1,435",0,"11,533","15,746",17
SD,2020/11/07,1,"2,791","1,837",91,0,97,519,3,"1,782","2,791",8
NJ,2021/05/11,1,"21,626","14,721",99,3,227,970,6,"14,721","21,626",23
MA,2020/06/03,1,"17,684","12,751",,,,,,"12,751","17,564",22
SC,2021/05/05,1,"11,612","9,047",40,1,83,315,2,"9,047","11,612",5
VT,2020/12/02,1,"1,281",794,5,0,4,26,0,794,"1,281",0
TN,2020/03/19,1,345,228,,,,,,228,285,0
NY,2021/02/26,1,"53,536","40,223",585,11,"1,128","5,729",52,"40,223","53,536",85
OH,2021/08/19,1,"32,196","24,452",261,2,513,"1,647",22,"24,452","32,196",18
MT,2021/10/02,1,"3,027","2,233",103,2,106,435,6,"2,233","3,027",6
MD,2020/11/22,1,"11,567","9,055",195,1,282,"1,253",13,"9,055","11,567",21
MI,2020/05/14,1,"22,165","12,981",,,,,,"12,981","21,916",27
SD,2022/01/24,1,"2,334","1,531",53,2,86,374,7,"1,531","2,334",3
ME,2021/09/06,1,"3,065","2,155",22,0,65,178,1,"2,155","3,065",5
AR,2021/01/12,1,"7,862","5,685",175,1,363,"1,190",7,"5,685","7,862",38
CT,2020/05/07,1,"10,087","5,842",,,,,,"5,543","9,997",29
MO,2020/10/04,1,"20,751","12,866",107,3,340,893,13,"12,810","20,751",9
GA,2021/06/28,1,"20,702","15,348",66,1,98,367,10,"15,348","20,702",4
AL,2020/03/17,1,345,30,,,,,,30,90,0
ND,2022/01/25,1,"1,974","1,523",36,2,49,276,8,"1,523","1,974",4
AZ,2021/03/03,1,"17,269","12,093",122,6,209,808,15,"12,093","17,269",20
KY,2021/09/26,1,"11,663","8,856",142,1,579,"1,900",17,"8,856","11,663",35
WI,2020/03/20,1,380,118,,,,,,118,329,0
VT,2021/02/13,1,"1,313",786,4,0,9,47,0,786,"1,313",0
MT,2020/07/04,1,"2,468","1,367",,,,,,"1,355","2,438",0
SC,2021/04/23,1,"10,763","8,309",54,0,116,454,1,"8,309","10,763",2
UT,2021/12/18,1,"6,257","4,056",54,4,172,422,1,"4,056","6,257",3
OR,2020/08/06,1,"4,106","3,882",5,0,39,128,2,"2,928","4,106",475
LA,2021/02/19,1,"13,924","9,204",82,3,210,822,4,"9,204","13,924",11
PR,2020/07/17,1,"8,245","4,883",1,0,0,0,0,"4,797","8,056",0
PA,2020/05/04,1,"14,994","8,334",,,,,,"8,161","13,108",84
AS,2021/12/21,1,150,69,0,0,0,0,0,69,150,0
KS,2020/12/07,1,"8,384","4,865",137,0,291,"1,087",2,"4,865","8,384",34
IL,2020/11/24,1,"30,857","21,495",655,3,"1,136","5,176",35,"21,495","30,857",79
UT,2020/11/26,1,"6,203","3,411",101,3,196,555,0,"3,411","6,203",5
IL,2021/03/22,1,"29,568","18,708",140,2,210,"1,028",16,"18,708","29,568",12
IA,2020/07/09,1,"8,756","5,043",11,,15,41,,"5,043","8,641",2
LA,2020/08/28,1,"14,059","9,156",83,0,272,"1,248",5,"9,156","14,059",14
SC,2021/03/12,1,"10,736","8,262",65,0,146,512,3,"8,262","10,736",9
PA,2021/09/23,1,"30,945","26,411",315,13,664,"2,566",52,"26,411","30,945",36
NC,2020/04/28,1,"21,671","13,656",,,,,,"13,341","21,344",14
IN,2021/06/08,1,"17,348","11,291",37,1,124,375,1,"11,291","17,348",4
FL,2020/11/07,1,"56,264","41,185",469,5,651,"2,769",25,"41,185","56,264",195
AZ,2021/07/08,1,"17,215","12,135",62,2,121,387,5,"12,135","17,215",5
TN,2021/03/29,1,"20,090","12,513",81,0,256,787,9,"12,513","19,418",8
IL,2020/12/22,1,"30,133","20,906",498,1,887,"4,005",35,"20,906","30,133",65
CO,2020/07/23,1,"9,175","5,915",51,0,101,255,57,"5,892","9,175",1
NC,2020/10/28,1,"23,709","18,267",151,2,350,"1,120",10,"18,267","23,709",20
PA,2021/05/13,1,"32,978","26,225",183,5,397,"1,577",46,"26,225","32,978",25
KS,2021/08/12,1,"9,063","5,687",110,3,203,622,3,"5,687","9,063",5
NV,2020/11/29,1,"8,615","6,505",148,1,318,"1,492",7,"6,505","8,615",22
CA,2020/11/02,1,"63,590","43,506",383,2,758,"2,620",20,"43,506","63,590",28
DE,2021/04/15,1,"3,316","2,494",23,0,16,146,4,"2,494","3,316",1
OK,2021/09/16,1,"10,374","7,946",296,5,392,"1,369",43,"7,946","10,374",24
WA,2021/07/16,1,"13,472","10,148",46,2,100,323,5,"10,148","13,472",4
SD,2021/04/04,1,"2,830","1,389",9,1,18,62,1,"1,389","2,830",0
KY,2021/02/11,1,"14,480","8,854",268,1,269,"1,041",3,"8,854","14,480",12
RI,2020/04/25,1,"2,477","1,543",0,0,0,0,0,"1,543","2,392",6
VT,2021/10/20,1,"1,212",949,13,0,20,57,1,949,"1,212",1
AL,2021/07/01,1,"15,425","11,755",41,3,73,208,4,"11,755","15,425",0
UT,2020/12/22,1,"5,570","3,235",100,4,190,541,2,"3,235","5,570",4
ID,2021/01/24,1,"3,681","2,039",18,0,61,219,4,"2,039","3,681",4
ME,2020/05/26,1,"3,153","1,770",,,,,,"1,770","3,115",1
VT,2021/08/16,1,"1,263",906,3,0,11,28,0,906,"1,263",0
NY,2022/01/14,1,"48,781","40,288","1,702",59,"1,633","12,106",300,"40,288","48,781",76
MN,2021/01/17,1,"10,079","6,982",52,1,119,594,6,"6,982","10,079",8
ID,2021/02/27,1,"3,652","2,069",22,0,32,122,2,"2,069","3,652",1
HI,2020/08/26,1,"1,754","1,834",58,0,48,264,4,"1,283","1,754",1
FL,2021/12/13,1,"55,668","43,389",155,10,280,"1,152",29,"43,389","55,668",13
MT,2021/03/23,1,"2,973","1,784",13,0,16,52,2,"1,784","2,973",2
UT,2021/01/01,1,"6,240","3,673",85,1,157,498,1,"3,673","6,240",3
NH,2020/09/25,1,"3,249","2,264",4,0,5,16,0,"2,264","3,249",0
AK,2021/04/15,1,"1,671","1,050",6,0,14,38,0,"1,050","1,671",19
ME,2021/09/26,1,"3,342","2,373",17,0,79,227,1,"2,373","3,342",5
MA,2022/01/11,1,"16,315","13,951",449,15,442,"2,706",66,"13,951","16,315",0
DE,2020/07/21,1,"2,096","1,580",2,0,4,104,8,"1,490","2,096",1
HI,2021/11/03,1,"2,606","1,929",7,0,19,75,0,"1,929","2,606",0
WY,2020/06/13,1,"1,160",610,,,,,,610,"1,071",0
MT,2020/10/22,1,"2,945","2,172",70,0,78,363,1,"2,030","2,945",2
VA,2020/10/30,1,"19,171","12,978",77,1,199,726,14,"12,978","19,171",7
WV,2021/04/11,1,"6,220","4,474",25,1,68,258,3,"4,474","6,220",3
KY,2020/11/16,1,"12,770","8,856",355,2,366,"1,434",5,"8,856","12,770",28
KY,2020/11/17,1,"12,767","9,237",363,2,371,"1,461",4,"9,237","12,767",26
FL,2020/12/22,1,"54,814","43,048",922,8,"1,182","5,688",29,"43,048","54,814",69
AZ,2021/08/06,1,"17,279","12,548",184,4,319,"1,123",19,"12,548","17,279",17
MD,2021/02/27,1,"11,867","9,234",103,4,176,709,1,"9,234","11,867",10
AZ,2021/11/04,1,"17,461","13,456",251,2,408,"1,692",10,"13,456","17,461",51
NM,2021/08/06,1,"4,357","3,102",28,1,87,225,3,"3,102","4,357",1
WY,2020/05/05,1,"1,062",511,,,,,,374,985,0
IL,2020/08/24,1,"29,427","18,047",100,2,262,820,6,"17,717","29,039",11
WI,2020/06/03,1,"12,147","7,101",,,,,,"7,017","10,505",2
WY,2021/08/23,1,"1,611",724,45,1,35,171,0,724,"1,611",3
KY,2021/05/09,1,"14,414","8,370",106,0,105,354,2,"8,370","14,414",18
SC,2022/01/31,1,"10,938","8,641",250,5,433,"2,371",37,"8,641","10,938",23
MN,2020/08/29,1,"11,344","7,695",43,2,87,316,9,"7,690","11,344",2
NC,2020/07/26,1,"21,340","17,470",175,4,362,937,13,"17,245","21,340",14
DE,2021/12/23,1,"3,472","2,618",47,8,47,384,13,"2,618","3,472",4
MA,2020/07/06,1,"16,866","12,016",,,,,,"12,016","16,744",11
NV,2020/09/22,1,"8,451","5,948",38,0,130,382,1,"5,948","8,451",6
NY,2021/09/25,1,"49,349","38,762",282,6,563,"2,304",34,"38,762","49,349",37
MI,2020/07/07,1,"22,490","14,937",0,0,0,0,0,"14,937","22,214",3
KY,2020/12/25,1,"14,515","7,649",408,0,380,"1,483",7,"7,649","14,515",24
UT,2020/06/10,1,"5,611","3,275",,,,,,"3,275","5,512",1
MI,2020/12/16,1,"23,570","18,304",401,3,790,"3,286",20,"18,304","23,570",57
OH,2022/01/18,1,"27,245","21,967",693,44,"1,203","6,005",174,"21,967","27,245",79
OK,2020/06/26,1,"12,615","6,250",,,,5,,"6,223","12,436",3
LA,2021/09/15,1,"12,662","10,114",165,6,478,"1,496",71,"10,114","12,662",26
AS,2021/11/20,1,150,56,0,0,0,0,0,56,150,0
KY,2021/03/02,1,"13,006","7,854",180,1,165,612,3,"7,854","13,006",17
IL,2020/12/15,1,"30,110","21,377",537,5,944,"4,330",43,"21,377","30,110",86
WV,2020/11/09,1,"6,089","4,278",29,0,93,302,1,"4,278","6,089",3
NJ,2020/03/19,1,38,,,,,,,,,
NH,2021/07/14,1,"3,143","2,310",2,0,3,12,0,"2,310","3,143",0
NE,2021/06/19,1,"4,361","2,896",9,0,8,36,2,"2,896","4,361",0
CT,2020/09/22,1,"8,183","5,879",13,0,13,73,1,"5,879","8,183",0
WV,2021/12/10,1,"5,897","4,900",83,2,191,608,8,"4,900","5,897",7
AL,2021/04/18,1,"15,511","10,714",66,1,112,365,2,"10,714","15,511",3
IL,2020/05/08,1,"26,421","15,795",,,,,,"15,310","25,456",87
CO,2020/05/04,1,"4,013","3,304",,,,,,"1,825","3,829",5
SC,2020/04/09,1,"4,655","2,325",,,,,,"2,325","4,655",2
MI,2020/10/16,1,"22,853","17,630",125,0,228,847,4,"17,448","22,853",11
AR,2021/05/08,1,"9,329","6,347",40,0,50,131,3,"6,347","9,329",5
IL,2020/05/07,1,"27,367","16,280",,,,,,"15,813","25,788",63
MI,2020/11/11,1,"23,775","18,971",351,4,575,"2,676",12,"18,971","23,775",33
NY,2021/04/19,1,"49,224","35,900",374,7,872,"4,013",41,"35,900","49,224",52
PR,2020/08/30,1,"9,599","5,348",22,0,51,245,8,"5,247","9,599",2
PA,2020/09/05,1,"28,474","22,441",56,2,140,519,13,"20,444","28,474",9
AL,2021/01/02,1,"15,587","11,486",391,2,790,"2,912",20,"11,486","15,587",43
WY,2021/02/02,1,"1,663",668,13,0,11,51,0,668,"1,663",1
PA,2021/01/11,1,"30,385","24,669",522,3,"1,138","5,357",36,"24,669","30,385",87
TN,2021/09/11,1,"19,712","13,776",355,10,"1,072","3,742",58,"13,776","19,151",71
HI,2021/04/15,1,"2,658","1,905",4,0,12,43,1,"1,905","2,658",1
MO,2020/05/31,1,"19,447","10,185",,,,,,"10,185","19,089",2
NE,2020/09/26,1,"4,929","3,548",30,1,80,225,3,"3,050","4,929",2
SC,2020/09/17,1,"10,407","8,442",64,0,188,636,1,"8,442","10,407",13
NH,2020/09/03,1,"3,232","2,202",30,0,3,10,1,"2,202","3,232",1
VI,2021/06/05,1,168,92,0,0,2,6,0,92,168,0
CT,2022/01/04,1,"7,561","6,259",244,12,268,"1,666",40,"6,259","7,561",24
IN,2021/09/09,1,"18,727","13,112",333,9,696,"2,259",22,"13,112","18,727",26
CO,2020/04/24,1,"4,123","3,587",,,,,,"1,965","3,941",2
NY,2022/01/30,1,"48,705","38,605",449,21,"1,134","7,168",157,"38,605","48,705",33
GA,2021/09/10,1,"23,408","19,838",682,19,"1,648","5,805",80,"19,838","23,408",104
ME,2021/04/23,1,"3,332","2,306",12,0,53,116,0,"2,306","3,332",0
DC,2021/05/17,1,"3,469","2,592",7,0,26,87,8,"2,592","3,469",3
IA,2021/04/10,1,"8,065","4,978",38,0,53,207,5,"4,978","8,065",4
CA,2020/03/09,1,33,9,,,,,,9,33,0
CA,2021/09/29,1,"64,961","51,407",464,17,"1,415","5,030",90,"51,407","64,961",84
WY,2020/03/19,1,14,5,,,,,,5,14,0
MO,2021/07/31,1,"17,184","14,287",292,7,622,"1,812",41,"14,287","17,184",33
OR,2021/08/01,1,"7,184","5,267",43,1,96,335,2,"5,267","7,184",3
VA,2021/07/05,1,"17,197","11,604",23,2,42,136,3,"11,604","17,197",4
MN,2021/07/27,1,"9,813","7,722",41,1,57,199,5,"7,722","9,813",0
NM,2021/02/23,1,"4,316","2,976",29,0,84,252,3,"2,976","4,197",6
CA,2020/08/18,1,"60,492","43,445",527,11,"1,556","5,230",54,"43,301","60,492",60
MO,2020/05/30,1,"19,572","10,541",,,,,,"10,541","19,228",5
NC,2020/01/07,1,72,71,,,,,,71,72,0
AZ,2020/11/17,1,"14,511","10,657",224,4,356,"1,350",10,"10,657","14,511",20
WY,2021/09/23,1,"1,743",933,33,0,59,216,2,933,"1,743",4
LA,2020/03/24,1,"1,313",701,,,,,,701,"1,313",9
NJ,2021/12/01,1,"24,008","17,239",160,4,189,990,2,"17,239","24,008",9
AL,2021/02/25,1,"15,487","11,914",112,0,240,773,16,"11,914","15,487",13
NH,2020/07/25,1,"3,073","2,172",4,0,9,63,0,"2,172","3,073",0
AZ,2021/12/08,1,"17,354","13,979",304,5,647,"2,603",33,"13,979","17,354",127
UT,2021/04/06,1,"5,551","3,123",23,1,51,127,0,"3,123","5,551",1
OR,2020/04/03,1,"1,509",715,,,,,,715,"1,509",1
ND,2020/03/04,1,27,7,,,,,,7,27,0
WV,2021/11/16,1,"6,059","4,907",59,1,143,516,5,"4,907","6,059",13
WY,2021/12/04,1,"1,748",878,11,0,32,110,1,878,"1,748",0
NC,2022/01/17,1,"21,694","17,020",428,10,788,"4,419",107,"17,020","21,694",49
GA,2020/05/11,1,"19,528","11,441",,,,,,"11,441","18,981",15
FL,2021/05/04,1,"54,446","43,679",484,12,808,"3,338",37,"43,679","54,446",35
CT,2021/10/07,1,"8,455","6,869",33,1,47,236,3,"6,869","8,455",2
VT,2020/05/09,1,"1,126",613,,,,,,519,"1,078",0
UT,2020/10/09,1,"5,603","3,590",46,3,80,234,7,"3,517","5,603",1
MD,2020/11/07,1,"11,748","9,127",108,3,158,632,8,"9,127","11,748",6
TN,2022/01/26,1,"20,309","14,963",425,20,681,"3,495",102,"14,963","20,309",39
IN,2021/07/10,1,"19,093","12,202",50,0,62,235,2,"12,202","19,093",5
NJ,2021/01/14,1,"24,238","17,438",435,0,623,"3,464",9,"17,438","24,238",60
MT,2020/03/08,1,58,34,,,,,,34,58,0
NE,2021/03/12,1,"4,310","2,735",11,0,42,112,1,"2,735","4,310",0
HI,2020/01/20,1,4,0,,,,,,0,4,0
NJ,2021/12/08,1,"24,261","17,869",224,2,239,"1,405",2,"17,869","24,261",13
ME,2020/04/08,1,"2,579","1,200",,,,,,"1,200","2,579",2
NH,2021/02/20,1,"3,125","2,170",9,0,20,100,0,"2,170","3,125",0
LA,2021/03/14,1,"13,960","8,840",37,2,131,491,2,"8,840","13,960",4
HI,2021/09/26,1,"2,611","1,971",18,1,57,261,6,"1,971","2,611",4
WI,2021/01/31,1,"13,873","7,573",125,2,181,730,4,"7,573","13,405",17
ME,2021/12/04,1,"3,358","2,380",38,1,111,333,3,"2,380","3,358",7
PR,2020/09/12,1,"9,629","5,336",31,0,53,238,3,"5,336","9,629",9
OK,2021/04/29,1,"10,831","7,870",30,0,60,200,20,"7,870","10,831",1
ME,2021/10/28,1,"3,337","2,450",19,0,73,194,2,"2,450","3,337",6
TN,2021/07/09,1,"20,077","13,277",29,2,82,230,9,"13,277","19,515",5
ME,2021/02/12,1,"3,298","2,256",15,0,34,116,0,"2,256","3,298",1
PA,2020/11/10,1,"34,517","26,622",357,6,569,"2,428",20,"26,622","34,517",21
ME,2020/05/02,1,"3,116","1,490",,,,,,"1,490","3,065",0
AZ,2020/03/30,1,"4,001","3,033",,,,,,"3,033","4,001",0
NY,2021/12/06,1,"44,866","36,135",390,10,651,"3,373",46,"36,135","44,866",54
NY,2021/10/01,1,"49,418","39,867",282,6,556,"2,180",37,"39,867","49,418",25
CT,2020/08/08,1,"8,161","6,052",12,0,11,57,1,"6,052","8,161",1
PR,2020/09/06,1,"9,835","5,255",8,1,65,255,11,"5,255","9,835",12
UT,2021/09/27,1,"5,562","3,329",66,4,215,546,0,"3,329","5,562",3
LA,2022/01/15,1,"12,823","9,669",374,17,404,"2,023",58,"9,669","12,823",10
IL,2021/07/19,1,"29,021","19,644",78,1,90,450,7,"19,644","29,021",2
RI,2021/08/22,1,"2,469","2,044",13,0,18,106,1,"2,044","2,469",2
PR,2020/09/23,1,"9,807","5,545",29,2,56,275,5,"5,545","9,807",5
GA,2021/08/19,1,"23,405","19,647",767,21,"1,299","5,144",95,"19,647","23,405",68
RI,2021/06/21,1,"2,456","2,179",0,0,9,41,0,"2,179","2,456",1
IL,2021/09/22,1,"31,266","23,745",236,2,447,"1,775",19,"23,745","31,266",20
NH,2021/08/07,1,"3,140","2,243",9,0,12,44,0,"2,243","3,140",0
WV,2021/04/16,1,"6,216","4,787",29,0,63,249,1,"4,787","6,216",2
NY,2021/06/19,1,"52,799","38,033",47,2,141,523,9,"38,033","52,799",7
NV,2021/01/28,1,"8,978","6,867",122,2,303,"1,260",10,"6,867","8,978",27
ID,2021/12/20,1,"3,013","2,098",30,1,82,240,2,"2,098","3,013",6
MS,2022/01/21,1,"8,890","6,040",205,4,305,"1,554",27,"6,040","8,890",13
DE,2021/11/21,1,"3,484","2,570",21,1,27,168,2,"2,570","3,484",3
ME,2021/01/14,1,"3,296","2,358",18,0,66,200,1,"2,358","3,296",5
WA,2021/08/12,1,"13,585","10,260",118,1,282,960,12,"10,260","13,585",13
AL,2020/03/18,1,345,25,,,,,,25,90,0
MI,2021/10/03,1,"22,778","18,034",217,6,454,"1,613",30,"18,034","22,778",23
TX,2020/01/27,1,91,64,,,,,,64,91,0
MD,2021/02/19,1,"11,886","9,475",111,0,270,"1,012",7,"9,475","11,886",15
TN,2020/06/10,1,"21,090","13,904",,,,,,"13,904","20,603",1
MI,2021/02/21,1,"22,953","16,365",77,1,212,716,11,"16,365","22,953",8
UT,2020/10/07,1,"5,632","3,532",28,3,68,223,10,"3,467","5,632",3
MT,2021/08/23,1,"2,946","1,928",51,3,53,249,4,"1,928","2,946",5
MA,2022/01/02,1,"17,609","14,688",305,14,384,"1,862",49,"14,688","17,609",27
HI,2020/08/19,1,"1,554","1,714",24,0,27,182,0,"1,124","1,554",2
MI,2021/03/12,1,"23,198","17,938",137,3,230,867,12,"17,938","23,198",5
AZ,2021/09/14,1,"15,887","11,509",210,5,549,"1,826",36,"11,509","15,887",114
MA,2020/08/03,1,"17,330","11,749",19,0,27,146,1,"11,749","17,330",4
AK,2020/09/27,1,"1,503",961,7,0,12,31,1,906,"1,503",0
OH,2021/02/21,1,"32,527","21,534",159,1,383,"1,447",19,"21,534","32,527",32
CA,2021/07/03,1,"62,949","47,076",173,4,282,"1,099",26,"47,076","62,949",17
CA,2021/01/01,1,"69,009","53,342","2,224",34,"4,586","20,464",138,"53,342","69,009",459
CA,2020/03/29,1,"3,476","1,804",,,,,,"1,804","3,054",2
KY,2021/10/04,1,"10,532","8,116",205,6,453,"1,548",20,"8,116","10,532",33
NM,2020/07/07,1,"2,148","1,737",,,,,,"1,238","2,026",4
MN,2020/04/12,1,"7,434","2,839",,,,,,"2,839","7,426",3
WV,2021/03/29,1,"5,985","4,315",32,3,79,236,3,"4,315","5,985",0
TX,2022/01/26,1,"67,672","53,620","1,983",119,"2,844","13,111",494,"53,620","67,672",179
MT,2021/01/03,1,"3,167","1,952",37,3,45,197,2,"1,952","3,167",3
MI,2021/06/21,1,"22,098","16,710",31,1,95,343,6,"16,710","22,098",4
WV,2020/04/10,1,"3,712","1,974",,,,,,"1,974","3,712",0
TX,2021/06/27,1,"65,188","47,620",181,4,486,"1,411",33,"47,620","65,188",18
MO,2021/08/26,1,"17,409","14,580",227,3,692,"2,096",35,"14,580","17,409",33
MA,2021/05/24,1,"16,948","13,330",40,1,73,172,5,"13,330","16,948",1
ME,2020/08/22,1,"2,991","1,981",2,0,2,7,0,"1,972","2,991",0
MA,2021/05/14,1,"19,285","15,918",51,1,95,272,6,"15,918","19,285",5
CO,2021/07/25,1,"11,684","7,496",47,1,100,277,3,"7,496","11,684",5
VT,2020/06/20,1,"1,268",681,,,,,,681,"1,195",0
IA,2021/11/21,1,"7,482","5,092",73,5,133,570,10,"5,092","7,482",7
CA,2021/06/02,1,"63,325","47,505",168,6,265,"1,080",27,"47,505","63,325",17
NH,2020/05/22,1,"2,824","1,662",,,,,,"1,662","2,824",2
WY,2021/09/21,1,"1,598",770,31,2,59,195,3,770,"1,598",1
IL,2021/06/15,1,"29,117","20,451",55,2,122,432,15,"20,451","29,117",8
MN,2021/10/05,1,"10,004","8,157",125,4,228,858,21,"8,157","10,004",12
MA,2020/12/13,1,"19,216","15,077",236,2,356,"1,520",17,"15,077","19,216",14
NY,2020/07/21,1,"20,572","16,941",104,9,136,562,21,"14,594","20,413",4
AZ,2020/08/30,1,"11,686","8,662",75,1,198,640,3,"7,257","11,686",12
NV,2022/01/10,1,"8,506","7,028",198,5,254,"1,516",28,"7,028","8,506",29
GA,2021/05/05,1,"23,244","18,224",179,8,318,"1,051",17,"18,224","23,244",13
NV,2020/03/09,1,85,17,,,,,,17,85,0
ID,2020/10/04,1,"3,863","1,883",18,2,44,150,2,"1,740","3,845",2
MA,2021/11/24,1,"17,662","15,321",91,2,158,628,14,"15,321","17,662",12
OK,2021/10/02,1,"10,285","7,333",186,3,297,927,30,"7,333","10,285",17
NJ,2021/04/05,1,"21,790","14,632",284,3,390,"2,247",7,"14,632","21,790",26
MI,2021/06/27,1,"22,734","17,121",24,1,67,253,10,"17,121","22,734",1
AR,2020/12/22,1,"8,209","5,924",193,6,292,"1,043",10,"5,924","8,209",24
NC,2021/01/31,1,"24,149","17,616",282,4,653,"2,667",38,"17,616","24,149",62
WV,2021/09/10,1,"6,367","4,875",83,7,256,838,15,"4,875","6,367",13
TN,2020/08/01,1,"19,139","10,849",132,2,392,"1,429",7,"10,849","17,990",18
ID,2020/08/30,1,"3,886","1,810",10,0,41,135,10,"1,742","3,612",1
NV,2021/08/20,1,"8,628","7,132",135,1,294,"1,234",6,"7,132","8,628",15
