state,date,critical_staffing_shortage_today_yes,inpatient_beds,inpatient_beds_used,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,staffed_icu_adult_patients_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,deaths_covid
IL,2020/07/14,1,"19,785","14,817",,,,,,"12,502","19,408",5
AZ,2020/09/17,1,"12,422","10,155",42,0,97,317,115,"8,368","12,422",8
OR,2021/10/12,1,"7,072","5,485",54,1,149,634,8,"5,485","7,072",16
WV,2021/06/29,1,"5,852","4,572",11,0,21,84,0,"4,572","5,852",2
VA,2020/06/28,1,"12,940","8,014",,,,,,"7,877","11,992",1
NH,2020/09/12,1,"3,266","2,134",1,0,3,7,0,"2,134","3,266",0
VA,2020/11/30,1,"18,187","12,049",172,6,367,"1,389",9,"12,049","18,187",16
LA,2021/06/12,1,"14,020","9,022",40,6,77,328,1,"9,022","14,020",1
MT,2021/11/14,1,"2,989","2,094",60,0,86,312,4,"2,094","2,989",10
DC,2020/03/29,1,"1,015",609,,,,,,609,"1,015",0
ND,2021/01/31,1,"2,387","1,539",8,0,21,83,1,"1,539","2,387",0
WV,2021/09/09,1,"6,357","4,948",90,4,257,841,11,"4,948","6,357",14
RI,2021/09/30,1,"2,458","2,149",5,0,12,93,0,"2,149","2,458",3
UT,2021/09/16,1,"6,271","4,099",80,4,217,547,3,"4,099","6,271",3
SD,2020/12/09,1,"2,857","1,847",40,2,96,467,8,"1,847","2,857",9
VT,2022/01/21,1,"1,230",924,19,0,27,105,5,924,"1,230",2
MT,2020/01/11,1,36,12,,,,,,12,36,0
MT,2021/01/23,1,"3,194","2,010",31,1,28,134,1,"2,010","3,194",3
SD,2020/10/16,1,"2,176","1,625",49,2,61,283,0,"1,393","2,176",4
HI,2020/01/14,1,4,0,,,,,,0,4,0
NC,2021/01/22,1,"24,150","18,816",418,26,754,"3,248",23,"18,816","24,150",60
MN,2020/04/27,1,"12,008","5,421",,,,,,"5,421","12,008",3
SD,2021/06/20,1,"2,830","1,477",2,0,5,15,0,"1,477","2,830",1
ME,2021/07/14,1,"3,311","2,411",5,0,14,31,1,"2,411","3,311",0
NC,2021/12/25,1,"22,915","15,889",199,1,479,"1,697",26,"15,889","22,915",35
HI,2020/02/02,1,4,0,,,,,,0,4,0
AS,2021/12/26,1,150,55,0,0,0,0,0,55,150,0
ID,2020/09/10,1,"3,883","2,175",17,0,51,137,1,"2,017","3,883",2
OK,2021/01/17,1,"10,910","7,559",261,4,487,"1,783",67,"7,559","10,910",24
OR,2021/05/21,1,"7,048","5,365",31,0,72,288,3,"5,365","7,048",5
LA,2020/03/04,1,58,16,,,,,,16,57,0
UT,2020/12/11,1,"6,211","3,822",82,1,201,540,0,"3,822","6,211",1
VT,2022/01/02,1,"1,227",795,8,2,15,67,2,795,"1,227",2
VI,2021/01/14,1,168,105,0,0,0,0,0,105,168,0
DC,2020/08/10,1,"3,440","2,565",13,1,20,211,6,"2,565","3,440",3
CO,2021/12/20,1,"11,093","7,860",146,3,424,"1,107",9,"7,860","11,093",11
IA,2022/01/16,1,"7,473","5,126",104,3,171,923,29,"5,126","7,473",11
